,name,lat,lon,type,geometry,category,distance(km)
0,John F. Kennedy International Airport (JFK),40.640721,-73.789347,"{'typepoint': {'type': 'Point', 'coordinates': [40.640721, -73.789347]}}",POINT (-73.789347 40.640721),airport,20.5
1,LaGuardia Airport (LGA),40.774546,-73.873296,"{'typepoint': {'type': 'Point', 'coordinates': [40.774546, -73.873296]}}",POINT (-73.873296 40.774546),airport,9.2
2,Newark Liberty International Airport (EWR),40.690377,-74.177145,"{'typepoint': {'type': 'Point', 'coordinates': [40.690377, -74.177145]}}",POINT (-74.177145 40.690377),airport,18.2
3,Starbucks,40.755564,-73.976688,"{'typepoint': {'type': 'Point', 'coordinates': [40.755564, -73.976688]}}",POINT (-73.976688 40.755564),starbucks,0.2
4,Starbucks,40.755354,-73.974452,"{'typepoint': {'type': 'Point', 'coordinates': [40.755354, -73.974452]}}",POINT (-73.974452 40.755354),starbucks,0.4
5,Starbucks,40.754338,-73.987245,"{'typepoint': {'type': 'Point', 'coordinates': [40.754338, -73.987245]}}",POINT (-73.987245 40.754338),starbucks,0.7
6,Starbucks,40.759705,-73.985194,"{'typepoint': {'type': 'Point', 'coordinates': [40.759705, -73.985194]}}",POINT (-73.985194 40.759705),starbucks,0.7
7,Starbucks,40.75672,-73.985819,"{'typepoint': {'type': 'Point', 'coordinates': [40.75672, -73.985819]}}",POINT (-73.985819 40.75672),starbucks,0.6
8,Starbucks,40.757695,-73.979698,"{'typepoint': {'type': 'Point', 'coordinates': [40.757695, -73.979698]}}",POINT (-73.979698 40.757695),starbucks,0.2
9,Starbucks,40.760463,-73.987102,"{'typepoint': {'type': 'Point', 'coordinates': [40.760463, -73.987102]}}",POINT (-73.987102 40.760463),starbucks,0.8
10,Starbucks,40.757013,-73.980982,"{'typepoint': {'type': 'Point', 'coordinates': [40.757013, -73.980982]}}",POINT (-73.980982 40.757013),starbucks,0.2
11,Starbucks,40.759743,-73.973793,"{'typepoint': {'type': 'Point', 'coordinates': [40.759743, -73.973793]}}",POINT (-73.973793 40.759743),starbucks,0.6
12,Starbucks,40.756755,-73.972541,"{'typepoint': {'type': 'Point', 'coordinates': [40.756755, -73.972541]}}",POINT (-73.972541 40.756755),starbucks,0.6
13,Starbucks,40.754301,-73.971484,"{'typepoint': {'type': 'Point', 'coordinates': [40.754301, -73.971484]}}",POINT (-73.971484 40.754301),starbucks,0.7
14,Starbucks,40.749101,-73.983799,"{'typepoint': {'type': 'Point', 'coordinates': [40.749101, -73.983799]}}",POINT (-73.983799 40.749101),starbucks,0.8
15,Starbucks,40.751762,-73.977588,"{'typepoint': {'type': 'Point', 'coordinates': [40.751762, -73.977588]}}",POINT (-73.977588 40.751762),starbucks,0.5
16,Starbucks,40.762911,-73.972344,"{'typepoint': {'type': 'Point', 'coordinates': [40.762911, -73.972344]}}",POINT (-73.972344 40.762911),starbucks,1.0
17,Starbucks,40.758741,-73.978909,"{'typepoint': {'type': 'Point', 'coordinates': [40.758741, -73.978909]}}",POINT (-73.978909 40.758741),starbucks,0.3
18,Starbucks,40.758325,-73.974349,"{'typepoint': {'type': 'Point', 'coordinates': [40.758325, -73.974349]}}",POINT (-73.974349 40.758325),starbucks,0.5
19,Starbucks,40.750863,-73.974932,"{'typepoint': {'type': 'Point', 'coordinates': [40.750863, -73.974932]}}",POINT (-73.974932 40.750863),starbucks,0.7
20,Starbucks,40.75637,-73.990786,"{'typepoint': {'type': 'Point', 'coordinates': [40.75637, -73.990786]}}",POINT (-73.990786 40.75637),starbucks,1.0
21,Starbucks,40.750585,-73.979246,"{'typepoint': {'type': 'Point', 'coordinates': [40.750585, -73.979246]}}",POINT (-73.979246 40.750585),starbucks,0.6
22,Starbucks,40.75744,-73.969116,"{'typepoint': {'type': 'Point', 'coordinates': [40.75744, -73.969116]}}",POINT (-73.969116 40.75744),starbucks,0.9
23,Starbucks,40.757041,-73.975916,"{'typepoint': {'type': 'Point', 'coordinates': [40.757041, -73.975916]}}",POINT (-73.975916 40.757041),starbucks,0.3
24,Starbucks,40.750966,-73.987079,"{'typepoint': {'type': 'Point', 'coordinates': [40.750966, -73.987079]}}",POINT (-73.987079 40.750966),starbucks,0.8
25,Starbucks,40.761794,-73.979771,"{'typepoint': {'type': 'Point', 'coordinates': [40.761794, -73.979771]}}",POINT (-73.979771 40.761794),starbucks,0.7
26,Starbucks,40.760518,-73.987061,"{'typepoint': {'type': 'Point', 'coordinates': [40.760518, -73.987061]}}",POINT (-73.987061 40.760518),starbucks,0.8
27,Starbucks,40.761845,-73.98187,"{'typepoint': {'type': 'Point', 'coordinates': [40.761845, -73.98187]}}",POINT (-73.98187 40.761845),starbucks,0.7
28,Starbucks,40.753905,-73.978685,"{'typepoint': {'type': 'Point', 'coordinates': [40.753905, -73.978685]}}",POINT (-73.978685 40.753905),starbucks,0.2
29,Starbucks,40.76369,-73.977486,"{'typepoint': {'type': 'Point', 'coordinates': [40.76369, -73.977486]}}",POINT (-73.977486 40.76369),starbucks,0.9
30,Starbucks,40.760886,-73.97943,"{'typepoint': {'type': 'Point', 'coordinates': [40.760886, -73.97943]}}",POINT (-73.97943 40.760886),starbucks,0.6
31,Starbucks,40.764562,-73.98119,"{'typepoint': {'type': 'Point', 'coordinates': [40.764562, -73.98119]}}",POINT (-73.98119 40.764562),starbucks,1.0
32,Starbucks,40.753573,-73.988448,"{'typepoint': {'type': 'Point', 'coordinates': [40.753573, -73.988448]}}",POINT (-73.988448 40.753573),starbucks,0.8
33,Starbucks,40.75496,-73.973039,"{'typepoint': {'type': 'Point', 'coordinates': [40.75496, -73.973039]}}",POINT (-73.973039 40.75496),starbucks,0.5
34,Starbucks,40.761936,-73.986505,"{'typepoint': {'type': 'Point', 'coordinates': [40.761936, -73.986505]}}",POINT (-73.986505 40.761936),starbucks,0.9
35,Starbucks,40.755525,-73.980137,"{'typepoint': {'type': 'Point', 'coordinates': [40.755525, -73.980137]}}",POINT (-73.980137 40.755525),starbucks,0.1
36,Starbucks,40.748988,-73.982415,"{'typepoint': {'type': 'Point', 'coordinates': [40.748988, -73.982415]}}",POINT (-73.982415 40.748988),starbucks,0.8
37,Starbucks,40.750322,-73.976964,"{'typepoint': {'type': 'Point', 'coordinates': [40.750322, -73.976964]}}",POINT (-73.976964 40.750322),starbucks,0.6
38,Starbucks,40.748376,-73.985099,"{'typepoint': {'type': 'Point', 'coordinates': [40.748376, -73.985099]}}",POINT (-73.985099 40.748376),starbucks,1.0
39,Starbucks,40.755117,-73.979248,"{'typepoint': {'type': 'Point', 'coordinates': [40.755117, -73.979248]}}",POINT (-73.979248 40.755117),starbucks,0.1
40,Starbucks,40.764052,-73.982087,"{'typepoint': {'type': 'Point', 'coordinates': [40.764052, -73.982087]}}",POINT (-73.982087 40.764052),starbucks,1.0
41,Starbucks,40.759362,-73.96989,"{'typepoint': {'type': 'Point', 'coordinates': [40.759362, -73.96989]}}",POINT (-73.96989 40.759362),starbucks,0.9
42,Starbucks,40.751831,-73.987758,"{'typepoint': {'type': 'Point', 'coordinates': [40.751831, -73.987758]}}",POINT (-73.987758 40.751831),starbucks,0.8
43,Starbucks,40.751602,-73.97352,"{'typepoint': {'type': 'Point', 'coordinates': [40.751602, -73.97352]}}",POINT (-73.97352 40.751602),starbucks,0.7
44,Starbucks Machine,40.755648,-73.977772,"{'typepoint': {'type': 'Point', 'coordinates': [40.755648, -73.977772]}}",POINT (-73.977772 40.755648),starbucks,0.1
45,Starbucks,40.755117,-73.979248,"{'typepoint': {'type': 'Point', 'coordinates': [40.755117, -73.979248]}}",POINT (-73.979248 40.755117),starbucks,0.1
46,Starbucks,40.755525,-73.980137,"{'typepoint': {'type': 'Point', 'coordinates': [40.755525, -73.980137]}}",POINT (-73.980137 40.755525),starbucks,0.1
47,Starbucks,40.764052,-73.982087,"{'typepoint': {'type': 'Point', 'coordinates': [40.764052, -73.982087]}}",POINT (-73.982087 40.764052),starbucks,1.0
48,Starbucks,40.759362,-73.96989,"{'typepoint': {'type': 'Point', 'coordinates': [40.759362, -73.96989]}}",POINT (-73.96989 40.759362),starbucks,0.9
49,Starbucks,40.751831,-73.987758,"{'typepoint': {'type': 'Point', 'coordinates': [40.751831, -73.987758]}}",POINT (-73.987758 40.751831),starbucks,0.8
50,Starbucks,40.751602,-73.97352,"{'typepoint': {'type': 'Point', 'coordinates': [40.751602, -73.97352]}}",POINT (-73.97352 40.751602),starbucks,0.7
51,Starbucks Pickup Amazon Go,40.756091,-73.990276,"{'typepoint': {'type': 'Point', 'coordinates': [40.756091, -73.990276]}}",POINT (-73.990276 40.756091),starbucks,0.9
52,Starbucks,40.752961,-73.985148,"{'typepoint': {'type': 'Point', 'coordinates': [40.752961, -73.985148]}}",POINT (-73.985148 40.752961),starbucks,0.6
53,Sweetgreen,40.752533,-73.987009,"{'typepoint': {'type': 'Point', 'coordinates': [40.752533, -73.987009]}}",POINT (-73.987009 40.752533),vegan,0.7
54,Beyond Sushi Herald Square,40.752383,-73.988576,"{'typepoint': {'type': 'Point', 'coordinates': [40.752383, -73.988576]}}",POINT (-73.988576 40.752383),vegan,0.9
55,Beyond Sushi,40.763269,-73.97712,"{'typepoint': {'type': 'Point', 'coordinates': [40.763269, -73.97712]}}",POINT (-73.97712 40.763269),vegan,0.9
56,Le Botaniste,40.751306,-73.974513,"{'typepoint': {'type': 'Point', 'coordinates': [40.751306, -73.974513]}}",POINT (-73.974513 40.751306),vegan,0.6
57,Franchia,40.747505,-73.981396,"{'typepoint': {'type': 'Point', 'coordinates': [40.747505, -73.981396]}}",POINT (-73.981396 40.747505),vegan,0.9
58,Amata,40.75938,-73.967226,"{'typepoint': {'type': 'Point', 'coordinates': [40.75938, -73.967226]}}",POINT (-73.967226 40.75938),vegan,1.1
59,Sweetgreen,40.744935,-73.988633,"{'typepoint': {'type': 'Point', 'coordinates': [40.744935, -73.988633]}}",POINT (-73.988633 40.744935),vegan,1.4
60,Hangawi,40.746764,-73.984862,"{'typepoint': {'type': 'Point', 'coordinates': [40.746764, -73.984862]}}",POINT (-73.984862 40.746764),vegan,1.1
61,Le Botaniste,40.765083,-73.965831,"{'typepoint': {'type': 'Point', 'coordinates': [40.765083, -73.965831]}}",POINT (-73.965831 40.765083),vegan,1.5
62,Sweetgreen,40.76042,-73.972683,"{'typepoint': {'type': 'Point', 'coordinates': [40.76042, -73.972683]}}",POINT (-73.972683 40.76042),vegan,0.8
63,Planta Queen,40.74441,-73.988319,"{'typepoint': {'type': 'Point', 'coordinates': [40.74441, -73.988319]}}",POINT (-73.988319 40.74441),vegan,1.5
64,Juicy Cube,40.760224,-73.969924,"{'typepoint': {'type': 'Point', 'coordinates': [40.760224, -73.969924]}}",POINT (-73.969924 40.760224),vegan,0.9
65,Sweetgreen,40.738172,-73.991337,"{'typepoint': {'type': 'Point', 'coordinates': [40.738172, -73.991337]}}",POINT (-73.991337 40.738172),vegan,2.2
66,Sweetgreen,40.767052,-73.956819,"{'typepoint': {'type': 'Point', 'coordinates': [40.767052, -73.956819]}}",POINT (-73.956819 40.767052),vegan,2.3
67,Sweetgreen,40.752639,-74.001035,"{'typepoint': {'type': 'Point', 'coordinates': [40.752639, -74.001035]}}",POINT (-74.001035 40.752639),vegan,1.9
68,Sweetgreen,40.733936,-73.992393,"{'typepoint': {'type': 'Point', 'coordinates': [40.733936, -73.992393]}}",POINT (-73.992393 40.733936),vegan,2.7
69,Sweetgreen,40.739288,-74.005879,"{'typepoint': {'type': 'Point', 'coordinates': [40.739288, -74.005879]}}",POINT (-74.005879 40.739288),vegan,2.9
70,Sweetgreen,40.780187,-73.980184,"{'typepoint': {'type': 'Point', 'coordinates': [40.780187, -73.980184]}}",POINT (-73.980184 40.780187),vegan,2.7
71,Juice Press,40.739165,-74.002468,"{'typepoint': {'type': 'Point', 'coordinates': [40.739165, -74.002468]}}",POINT (-74.002468 40.739165),vegan,2.7
72,Hummus Place,40.780075,-73.980366,"{'typepoint': {'type': 'Point', 'coordinates': [40.780075, -73.980366]}}",POINT (-73.980366 40.780075),vegan,2.7
73,Sweetgreen,40.754493,-73.976384,"{'typepoint': {'type': 'Point', 'coordinates': [40.754493, -73.976384]}}",POINT (-73.976384 40.754493),vegan,0.3
74,Peacefood Caf̩,40.73333,-73.99285,"{'typepoint': {'type': 'Point', 'coordinates': [40.73333, -73.99285]}}",POINT (-73.99285 40.73333),vegan,2.7
75,Bagel Express,40.749946,-73.976906,"{'typepoint': {'type': 'Point', 'coordinates': [40.749946, -73.976906]}}",POINT (-73.976906 40.749946),vegan,0.7
76,Adyar Anand Bhavans Pvt,40.759291,-73.962504,"{'typepoint': {'type': 'Point', 'coordinates': [40.759291, -73.962504]}}",POINT (-73.962504 40.759291),vegan,1.5
77,Just Salad,40.746252,-73.993795,"{'typepoint': {'type': 'Point', 'coordinates': [40.746252, -73.993795]}}",POINT (-73.993795 40.746252),vegan,1.6
78,Sweetgreen,40.765137,-73.981868,"{'typepoint': {'type': 'Point', 'coordinates': [40.765137, -73.981868]}}",POINT (-73.981868 40.765137),vegan,1.1
79,Sweetgreen,40.774374,-73.980683,"{'typepoint': {'type': 'Point', 'coordinates': [40.774374, -73.980683]}}",POINT (-73.980683 40.774374),vegan,2.1
80,Roast Kitchen,40.761287,-73.972542,"{'typepoint': {'type': 'Point', 'coordinates': [40.761287, -73.972542]}}",POINT (-73.972542 40.761287),vegan,0.8
81,Ginger Root,40.762391,-73.959566,"{'typepoint': {'type': 'Point', 'coordinates': [40.762391, -73.959566]}}",POINT (-73.959566 40.762391),vegan,1.8
82,Sweetgreen,40.76374,-73.967614,"{'typepoint': {'type': 'Point', 'coordinates': [40.76374, -73.967614]}}",POINT (-73.967614 40.76374),vegan,1.3
83,Le Botaniste,40.774213,-73.981523,"{'typepoint': {'type': 'Point', 'coordinates': [40.774213, -73.981523]}}",POINT (-73.981523 40.774213),vegan,2.1
84,Coletta,40.740882,-73.981284,"{'typepoint': {'type': 'Point', 'coordinates': [40.740882, -73.981284]}}",POINT (-73.981284 40.740882),vegan,1.7
85,Nanoosh,40.758847,-73.979,"{'typepoint': {'type': 'Point', 'coordinates': [40.758847, -73.979]}}",POINT (-73.979 40.758847),vegan,0.3
86,Just Salad,40.740642,-73.985801,"{'typepoint': {'type': 'Point', 'coordinates': [40.740642, -73.985801]}}",POINT (-73.985801 40.740642),vegan,1.8
87,Sweetgreen,40.746291,-73.982397,"{'typepoint': {'type': 'Point', 'coordinates': [40.746291, -73.982397]}}",POINT (-73.982397 40.746291),vegan,1.1
